Epoch,Train_MSE,Val_MSE,Learning_Rate
387,1.3183778090581875e-08,1.231115520684676e-08,3.6279705599999985e-06
388,1.313128858586486e-08,1.3361266806333066e-08,3.6279705599999985e-06
389,1.3072580612241258e-08,1.2993809311263524e-08,3.6279705599999985e-06
390,1.3087375519567798e-08,1.2551521757331675e-08,3.6279705599999985e-06
391,1.3124838112894819e-08,1.5338462835248366e-08,3.6279705599999985e-06
392,1.3056757228433036e-08,1.310564985732951e-08,3.6279705599999985e-06
393,1.3042305628227383e-08,1.272201992332414e-08,3.6279705599999985e-06
394,1.3005661685500773e-08,1.3877222659320075e-08,3.6279705599999985e-06
395,1.3059152407777288e-08,1.3519804103873005e-08,3.6279705599999985e-06
396,1.2984865177603672e-08,1.2638314891512374e-08,3.6279705599999985e-06
397,1.2878818269387828e-08,1.4298490029807365e-08,3.6279705599999985e-06
